training_cost,test_cost
0.9944711033770055,0.9961218341600592
0.9998459986715678,0.9999077622916309
0.9998241767275017,0.9998994787072698
0.9999194710849336,0.999956195987732
0.999915333108826,0.9999578993484669
0.9999260009540323,0.9999602708962347
0.999945978880849,0.9999715397898249
0.9999631025597288,0.9999830136971508
0.9999507522018604,0.9999778154908227
0.9999671708731411,0.9999836708788588
0.9999644578602653,0.9999826902495909
0.9999677325830459,0.9999839636570527
0.9999743765984019,0.9999904243597872
0.9999716288652497,0.9999869431136059
0.9999723588272583,0.9999872117444972
0.9999697061029601,0.9999877397112524
0.999977286598741,0.999991528721965
0.9999757707754519,0.9999892028655853
0.9999659236378108,0.9999853084922119
0.9999782699249422,0.999989685007386
0.9999830735664348,0.9999926263767911
0.9999776075081863,0.9999866483713792
0.9999797849334574,0.9999917713241453
0.9999835767176471,0.9999924171390133
0.9999720743407295,0.9999870238990348
0.9999867110727908,0.9999941232099163
0.9999779049441965,0.999990033884745
0.9999798607939574,0.999989989697074
0.9999816092252246,0.9999922833627307
0.9999861576412507,0.9999932227663675
0.9999812669580109,0.9999912613514036
0.9999823105950496,0.9999919567905282
0.9999842468391205,0.999992868735675
0.9999847356380854,0.9999918824066582
0.9999854510451417,0.9999932050335577
0.9999852369387686,0.9999930265957776
0.999984355998076,0.9999931146202837
0.9999867060897332,0.9999932586003764
0.9999846657148105,0.9999915689191156
0.9999874676324971,0.9999935339908034
